Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,2.179012,2.191358,2.117284,2.117284,1.890886,36301200
1995-01-04,2.123457,2.148148,2.092592,2.135803,1.907424,46051600
1995-01-05,2.141975,2.148148,2.086420,2.092592,1.868834,37762800
1995-01-06,2.092592,2.154321,2.061728,2.117284,1.890886,41864400
1995-01-09,2.135803,2.179012,2.129630,2.179012,1.946014,34639200
1995-01-10,2.191358,2.216049,2.185185,2.185185,1.951526,42088000
1995-01-11,2.203704,2.216049,2.098765,2.120370,1.893642,46762000
1995-01-12,2.123457,2.129630,2.086420,2.104938,1.879860,41294400
1995-01-13,2.129630,2.145062,2.074074,2.080247,1.857810,55039200
1995-01-16,2.024691,2.080247,1.975309,2.067901,1.846784,54574800
1995-01-17,2.067901,2.141975,2.067901,2.141975,1.912937,39588000
1995-01-18,2.135803,2.160494,2.129630,2.135803,1.907424,28841200
1995-01-19,2.129630,2.216049,2.117284,2.209877,1.973578,55818000
1995-01-20,2.209877,2.216049,2.129630,2.169753,1.937745,48518800
1995-01-23,2.154321,2.154321,2.098765,2.123457,1.896399,37551600
1995-01-24,2.123457,2.135803,2.086420,2.117284,1.890886,28960800
1995-01-25,2.104938,2.197531,2.086420,2.160494,1.929475,67278400
1995-01-26,2.154321,2.160494,2.117284,2.117284,1.890886,27543600
1995-01-27,2.123457,2.135803,2.086420,2.111111,1.885373,35708400
1995-01-30,2.111111,2.117284,2.055556,2.061728,1.841272,44440000
1995-01-31,2.074074,2.129630,2.061728,2.104938,1.879860,37908400
1995-02-01,2.129630,2.141975,2.080247,2.092592,1.868834,24384400
1995-02-02,2.092592,2.123457,2.080247,2.117284,1.890886,24165600
1995-02-03,2.135803,2.197531,2.123457,2.172839,1.940500,53942800
1995-02-06,2.172839,2.203704,2.160494,2.194444,1.959796,24818800
1995-02-07,2.197531,2.203704,2.160494,2.191358,1.957039,18529600
1995-02-08,2.197531,2.203704,2.154321,2.166667,1.934988,26293200
1995-02-09,2.185185,2.216049,2.148148,2.148148,1.918450,48528000
1995-02-10,2.160494,2.203704,2.148148,2.185185,1.951526,36315600
1995-02-13,2.191358,2.240741,2.172839,2.197531,1.962552,33372400
1995-02-14,2.216049,2.228395,2.160494,2.179012,1.946014,28029600
1995-02-15,2.185185,2.259259,2.185185,2.259259,2.017680,44546800
1995-02-16,2.259259,2.283951,2.234568,2.277778,2.034219,45473200
1995-02-17,2.271605,2.277778,2.246914,2.253086,2.012167,20790000
1995-02-21,2.271605,2.296296,2.259259,2.277778,2.034219,27059200
1995-02-22,2.265432,2.333333,2.253086,2.327161,2.078321,40435200
1995-02-23,2.351852,2.379630,2.296296,2.324074,2.075565,42390400
1995-02-24,2.324074,2.324074,2.250000,2.259259,2.017680,34297600
1995-02-27,2.268518,2.333333,2.250000,2.250000,2.009411,31061200
1995-02-28,2.277778,2.333333,2.250000,2.324074,2.075565,23047200
1995-03-01,2.342592,2.351852,2.305556,2.314815,2.067295,24346800
1995-03-02,2.333333,2.342592,2.277778,2.342592,2.092103,14650000
1995-03-03,2.342592,2.444444,2.314815,2.435185,2.174795,44342800
1995-03-06,2.416667,2.425926,2.361111,2.407408,2.149988,27613600
1995-03-07,2.398148,2.425926,2.370370,2.388889,2.133449,30264000
1995-03-08,2.388889,2.407408,2.379630,2.407408,2.149988,17985600
1995-03-09,2.416667,2.444444,2.388889,2.425926,2.166525,45533200
1995-03-10,2.416667,2.444444,2.407408,2.444444,2.183063,26088000
1995-03-13,2.453704,2.490741,2.444444,2.453704,2.191333,30138000
1995-03-14,2.490741,2.509259,2.462963,2.462963,2.199602,24872800
1995-03-15,2.481482,2.481482,2.416667,2.425926,2.166525,24435600
